,total_sqft,bath,balcony,price,site_location,bhk
0,1056.0,2.0,1.0,39.07,Alandi Road,2
1,2894.0,4.0,1.0,245.0,Alandi Road,4
2,1084.0,2.0,2.0,50.0,Alandi Road,2
3,1230.0,2.0,2.0,80.0,Alandi Road,2
4,1750.0,3.0,2.0,130.0,Alandi Road,3
5,995.0,2.0,1.0,41.0,Alandi Road,2
7,1360.0,2.0,1.0,95.0,Alandi Road,2
8,1040.0,2.0,2.0,50.0,Alandi Road,2
9,1655.0,3.0,2.0,86.06,Alandi Road,3
10,2790.0,5.0,3.0,198.0,Alandi Road,4
11,1028.0,2.0,1.0,42.0,Alandi Road,2
12,1300.0,2.0,3.0,57.0,Alandi Road,2
13,1564.0,3.0,1.0,101.0,Alandi Road,3
14,1012.0,2.0,1.0,59.0,Alandi Road,2
15,2519.0,5.0,2.0,185.0,Alandi Road,4
16,1520.0,2.0,3.0,62.0,Alandi Road,2
17,1550.0,3.0,2.0,78.0,Alandi Road,3
18,950.0,2.0,1.0,46.5,Alandi Road,2
19,1350.0,2.0,1.0,79.0,Alandi Road,2
20,1500.0,2.0,0.0,85.0,Alandi Road,3
21,1150.0,2.0,2.0,77.5,Alandi Road,3
22,1080.0,2.0,2.0,75.0,Alandi Road,3
23,1743.0,3.0,2.0,93.25,Alandi Road,3
24,984.0,2.0,1.0,45.91,Alandi Road,2
25,1225.0,2.0,2.0,55.0,Alandi Road,2
26,1100.0,2.0,1.0,50.0,Alandi Road,2
27,1210.0,2.0,1.0,75.0,Alandi Road,2
28,1250.0,2.0,2.0,72.0,Alandi Road,2
29,900.0,2.0,2.0,42.0,Alandi Road,2
30,1075.0,2.0,2.0,52.43,Alandi Road,2
31,1265.0,2.0,2.0,82.0,Alandi Road,2
32,900.0,2.0,1.0,41.0,Alandi Road,2
34,1100.0,2.0,1.0,48.0,Alandi Road,2
35,1850.0,3.0,2.0,90.0,Alandi Road,3
36,1475.0,2.0,2.0,74.0,Alandi Road,3
37,1265.0,2.0,1.0,65.0,Alandi Road,3
38,1300.0,2.0,2.0,98.0,Alandi Road,2
39,937.0,2.0,1.0,35.0,Alandi Road,2
40,1000.0,2.0,2.0,58.0,Alandi Road,2
41,700.0,2.0,0.0,43.0,Alandi Road,2
42,1265.0,2.0,2.0,46.6,Alandi Road,2
43,1008.0,2.0,2.0,32.25,Alandi Road,2
44,2072.0,4.0,2.0,155.0,Alandi Road,3
46,7000.0,4.0,3.0,550.0,Alandi Road,4
47,1102.0,2.0,0.0,52.0,Alandi Road,2
48,1020.0,2.0,1.0,46.5,Alandi Road,2
49,1855.0,3.0,2.0,145.0,Alandi Road,3
50,1181.0,2.0,1.0,75.0,Alandi Road,2
52,1130.0,2.0,1.0,45.2,Alandi Road,2
53,1065.0,2.0,2.0,55.0,Alandi Road,2
54,1540.0,3.0,3.0,85.0,Alandi Road,3
55,1246.0,2.0,1.0,67.4,Alandi Road,2
56,500.0,1.0,1.0,30.0,Alandi Road,1
57,1080.0,2.0,2.0,45.0,Alandi Road,2
58,1756.0,3.0,2.0,128.0,Alandi Road,3
59,914.0,2.0,1.0,32.0,Alandi Road,2
